iter	Passed	Remaining
0	54	5428
1	55	2714
2	56	1814
3	56	1353
4	56	1081
5	57	897
6	57	766
7	58	667
8	61	618
9	61	555
10	62	502
11	62	459
12	63	422
13	64	393
14	64	365
15	64	340
16	65	319
17	66	300
18	66	283
19	67	268
20	67	255
21	68	242
22	68	230
23	69	219
24	69	209
25	70	200
26	71	193
27	72	185
28	72	177
29	72	170
30	73	163
31	73	157
32	74	151
33	75	145
34	75	140
35	76	135
36	76	131
37	77	126
38	78	122
39	78	117
40	79	113
41	79	109
42	79	105
43	79	101
44	80	98
45	81	95
46	81	91
47	81	88
48	82	85
49	82	82
50	83	79
51	83	77
52	84	74
53	84	72
54	84	69
55	85	67
56	85	64
57	86	62
58	86	60
59	86	57
60	87	55
61	87	53
62	88	51
63	88	49
64	89	48
65	89	46
66	90	44
67	90	42
68	91	40
69	91	39
70	91	37
71	92	35
72	92	34
73	93	32
74	94	31
75	94	29
76	94	28
77	95	26
78	95	25
79	96	24
80	97	22
81	97	21
82	98	20
83	98	18
84	98	17
85	99	16
86	99	14
87	100	13
88	100	12
89	101	11
90	102	10
91	102	8
92	102	7
93	103	6
94	103	5
95	104	4
96	104	3
97	105	2
98	105	1
99	106	0
