iter	Passed	Remaining
0	55	55255
1	55	27822
2	56	18661
3	57	14355
4	58	11564
5	58	9689
6	58	8361
7	59	7397
8	60	6619
9	60	5986
10	60	5475
11	61	5051
12	62	4716
13	62	4404
14	62	4133
15	64	3961
16	64	3750
17	65	3554
18	65	3385
19	66	3243
20	66	3101
21	66	2975
22	67	2858
23	67	2753
24	68	2654
25	68	2576
26	69	2493
27	69	2414
28	70	2344
29	70	2280
30	70	2219
31	71	2159
32	72	2112
33	73	2074
34	73	2027
35	73	1977
36	74	1932
37	74	1895
38	75	1856
39	75	1817
40	76	1780
41	76	1745
42	77	1715
43	77	1684
44	77	1654
45	78	1628
46	79	1609
47	80	1589
48	80	1571
49	81	1552
50	82	1534
51	83	1516
52	90	1608
53	90	1586
54	91	1564
55	91	1548
56	92	1529
57	93	1514
58	93	1495
59	94	1479
60	95	1462
61	95	1445
62	96	1429
63	96	1411
64	97	1395
65	97	1381
66	98	1368
67	98	1353
68	99	1340
69	100	1337
70	101	1327
71	102	1325
72	104	1321
73	104	1311
74	105	1305
75	106	1290
76	106	1275
77	106	1263
78	107	1249
79	107	1236
80	107	1224
81	108	1212
82	108	1198
83	108	1186
84	109	1174
85	109	1162
86	109	1153
87	110	1142
88	110	1132
89	110	1122
90	111	1112
91	111	1102
92	112	1093
93	112	1083
94	112	1074
95	113	1065
96	113	1056
97	113	1048
98	114	1041
99	114	1033
100	115	1026
101	115	1018
102	116	1011
103	116	1005
104	117	997
105	118	996
106	118	990
107	119	984
108	119	979
109	120	972
110	120	965
111	121	959
112	121	954
113	122	948
114	122	943
115	123	938
116	123	931
117	123	925
118	124	921
119	124	916
120	125	910
121	125	904
122	126	899
123	126	894
124	127	889
125	127	884
126	127	879
127	128	874
128	128	869
129	129	864
130	129	860
131	130	855
132	130	850
133	131	852
134	132	848
135	133	845
136	133	841
137	134	838
138	134	835
139	135	831
140	135	827
141	136	822
142	136	819
143	137	814
144	137	810
145	137	806
146	138	803
147	138	799
148	139	795
149	139	791
150	139	787
151	140	783
152	141	780
153	141	777
154	141	773
155	142	769
156	142	765
157	143	763
158	143	759
159	144	756
160	144	751
161	144	748
162	145	744
163	145	741
164	145	737
165	146	735
166	146	732
167	147	730
168	151	745
169	152	743
170	152	740
171	153	739
172	154	738
173	155	736
174	156	736
175	157	735
176	157	733
177	158	732
178	159	730
179	159	728
180	160	725
181	160	722
182	161	719
183	161	717
184	162	713
185	162	711
186	162	707
187	163	704
188	163	701
189	163	698
190	164	694
191	164	691
192	164	688
193	165	685
194	165	683
195	166	680
196	166	678
197	166	675
198	167	672
199	167	670
200	167	667
201	168	664
202	168	661
203	168	659
204	169	656
205	169	654
206	170	651
207	170	649
208	170	646
209	171	643
210	171	640
211	171	638
212	172	635
213	172	633
214	172	630
215	173	628
216	173	625
217	173	623
218	174	620
219	174	618
220	174	616
221	175	614
222	175	612
223	176	610
224	176	608
225	177	606
226	177	604
227	177	601
228	178	599
229	178	597
230	178	595
231	179	593
232	179	591
233	180	589
234	180	587
235	181	586
236	181	584
237	181	582
238	182	580
239	182	578
240	182	576
241	183	574
242	183	572
243	184	570
244	184	568
245	184	566
246	185	565
247	185	563
248	186	561
249	186	559
250	186	557
251	187	555
252	187	553
253	187	551
254	188	549
255	188	547
256	188	546
257	189	544
258	189	542
259	190	540
260	190	539
261	190	537
262	191	535
263	191	533
264	191	532
265	192	530
266	192	528
267	193	527
268	193	526
269	193	524
270	194	522
271	194	521
272	195	520
273	196	520
274	197	520
275	198	519
276	201	526
277	203	528
278	204	528
279	205	529
280	206	527
281	206	525
282	206	523
283	207	522
284	207	521
285	208	519
286	208	518
287	209	516
288	209	516
289	210	514
290	210	513
291	211	511
292	211	510
293	211	508
294	212	506
295	212	505
296	213	504
297	213	502
298	213	501
299	214	499
300	214	497
301	214	496
302	214	494
303	215	493
304	215	491
305	216	490
306	216	488
307	216	487
308	217	485
309	217	484
310	217	482
311	218	481
312	218	479
313	219	478
314	219	477
315	219	475
316	220	474
317	220	473
318	220	471
319	221	470
320	221	469
321	222	468
322	222	467
323	223	466
324	223	464
325	224	463
326	224	462
327	225	461
328	226	461
329	226	459
330	227	458
331	227	457
332	227	456
333	229	456
334	229	455
335	230	455
336	231	454
337	231	453
338	232	452
339	232	451
340	233	450
341	233	449
342	234	450
343	235	449
344	236	448
345	237	448
346	237	447
347	238	446
348	238	445
349	239	444
350	239	443
351	240	441
352	240	440
353	240	439
354	241	438
355	242	438
356	243	438
357	244	437
358	244	436
359	245	436
360	245	435
361	246	433
362	246	432
363	246	431
364	247	430
365	248	430
